site,forage,date_essai,niveau_statique_m,q1_m3h,q2_m3h,q3_m3h,profondeur_totale_m,profondeur_tubee_m,crepine_sup_m,venue_eau_principale_m,epaisseur_alterites_m,debit_developpement_m3h,niveau_etiage_m,niveau_dynamique_max_m,rabattement_max_m
Boron Cissé,F1,23/04/2025,10.9,5.6,10.2,12.8,40.3,39.16,20.7,34.0,17.0,20.0,12.08,20.7,8.62
Diaguinébougou,F1,28/04/2025,6.8,3.0,4.1,5.1,78.0,78.0,54.83,70.0,12.0,7.4,8.21,54.83,46.62
Dialakorobougou,F1,24/04/2025,6.81,2.3,5.2,8.2,100.0,100.0,55.0,59.0,21.0,6.0,8.31,55.0,46.69
Diladjè,F1,27/04/2025,8.8,1.6,2.5,3.0,61.1,60.07,38.7,54.0,24.3,3.6,10.08,38.7,28.62
Dlana,F1,22/04/2025,11.17,6.1,10.7,13.0,45.8,44.11,34.38,36.0,19.0,17.0,12.35,34.38,22.03
Dombana,F2,26/04/2025,8.84,3.6,7.3,12.0,35.3,34.2,27.88,29.0,20.0,15.2,10.13,27.88,17.75
Dontérébougou,F1,21/04/2025,9.83,6.0,9.4,12.8,48.1,47.03,40.7,42.0,32.5,27.0,11.14,40.7,29.56
Doumba,F1,26/04/2025,8.69,0.5,1.1,1.4,87.5,87.5,68.0,70.0,21.0,1.4,9.99,68.0,58.01
Fani,F1,24/04/2025,3.25,5.4,10.3,14.3,37.0,36.0,27.24,35.0,17.0,36.0,5.04,27.24,22.2
Félou,F1,18/05/2025,10.86,1.1,3.2,4.9,91.1,91.1,59.66,63.0,20.06,4.1,11.6,59.66,48.06
Fégoun,F1,28/04/2025,12.18,1.7,3.6,5.9,46.0,46.0,28.65,37.0,6.0,6.3,13.17,28.65,15.48
Gouni,F1,29/04/2025,7.4,0.9,1.3,2.2,82.0,82.0,55.9,63.0,8.0,2.8,8.74,55.9,47.16
Koroka,F1,21/04/2025,15.34,1.5,3.4,7.5,86.1,84.82,25.62,54.0,28.0,10.0,16.17,25.62,9.45
Monzombala,F1,22/04/2025,14.73,3.0,9.4,12.0,61.1,59.91,44.35,54.0,21.0,15.0,15.6,44.35,28.75
Gnamakorobougou,F1,26/04/2025,5.82,2.5,6.8,10.7,71.1,70.05,55.0,67.0,21.3,10.8,7.35,55.0,47.65
Niobougou,F1,17/05/2025,14.73,1.8,2.8,4.6,66.1,66.1,28.92,46.0,19.84,4.5,15.28,28.92,13.64
Sirakorola Ouest,F1,20/04/2025,10.18,3.57,7.9,15.0,80.0,79.98,58.61,59.0,10.0,15.0,11.48,58.61,47.13
Siratiguila,F1,29/04/2025,14.63,1.0,1.9,3.0,78.0,78.0,28.64,35.0,6.0,3.4,15.42,28.64,13.22
Wolokorodji,F1,25/04/2025,11.83,1.6,2.7,3.0,81.0,80.02,52.83,57.0,19.5,3.1,12.9,52.83,39.93
Zana,F1,21/04/2025,5.87,2.1,4.4,6.5,61.1,60.0,47.36,49.0,7.66,9.0,7.52,47.36,39.84
