code,commune,village,point_implantation,x_utm,y_utm,epsg,longitude,latitude,etat,analyse_eau_disponible,date_essai,niveau_statique_m,q1_m3h,q2_m3h,q3_m3h,profondeur_totale_m,profondeur_tubee_m,crepine_sup_m,venue_eau_principale_m,epaisseur_alterites_m,debit_developpement_m3h,niveau_etiage_m,niveau_dynamique_max_m,rabattement_max_m
PZ-01,Doumba,Fani,S1,657791,1456038,32629,-7.5440815,13.1667968,POSITIF,True,24/04/2025,3.25,5.4,10.3,14.3,37.0,36.0,27.24,35.0,17.0,36.0,5.04,27.24,22.2
PZ-02,Doumba,Dombana,S1,652629,1459401,32629,-7.5915264,13.1974635,POSITIF,True,26/04/2025,8.84,3.6,7.3,12.0,35.3,34.2,27.88,29.0,20.0,15.2,10.13,27.88,17.75
PZ-03,Doumba,Doumba,S1,652515,1449784,32629,-7.5930741,13.1105329,POSITIF,True,26/04/2025,8.69,0.5,1.1,1.4,87.5,87.5,68.0,70.0,21.0,1.4,9.99,68.0,58.01
PZ-04,Koula,Dialakorobougou,S1,662334,1450030,32629,-7.5025032,13.1122462,POSITIF,True,24/04/2025,6.81,2.3,5.2,8.2,100.0,100.0,55.0,59.0,21.0,6.0,8.31,55.0,46.69
PZ-05,Koula,Wolokorodji,S1,666886,1450466,32629,-7.4604979,13.1159399,POSITIF,True,25/04/2025,11.83,1.6,2.7,3.0,81.0,80.02,52.83,57.0,19.5,3.1,12.9,52.83,39.93
PZ-06,Koula,Gnamakorobougou,S1,664753,1451908,32629,-7.4800896,13.1290916,POSITIF,True,26/04/2025,5.82,2.5,6.8,10.7,71.1,70.05,55.0,67.0,21.3,10.8,7.35,55.0,47.65
PZ-07,Koula,Félou,S1,637661,1444008,32629,-7.7303421,13.0590271,POSITIF,True,18/05/2025,10.86,1.1,3.2,4.9,91.1,91.1,59.66,63.0,20.06,4.1,11.6,59.66,48.06
PZ-08,Koula,Niobougou,S2,642505,1447742,32629,-7.685495,13.0925603,POSITIF,True,17/05/2025,14.73,1.8,2.8,4.6,66.1,66.1,28.92,46.0,19.84,4.5,15.28,28.92,13.64
PZ-09,Sirakorola,Sirakorola Ouest,S1,655572,1469795,32629,-7.5638233,13.2912712,POSITIF,True,20/04/2025,10.18,3.57,7.9,15.0,80.0,79.98,58.61,59.0,10.0,15.0,11.48,58.61,47.13
PZ-10,Sirakorola,Monzombala,S1,667003,1470452,32629,-7.4582855,13.2965925,POSITIF,True,22/04/2025,14.73,3.0,9.4,12.0,61.1,59.91,44.35,54.0,21.0,15.0,15.6,44.35,28.75
PZ-11,Sirakorola,Dlana,S1,670668,1462834,32629,-7.424904,13.2275254,POSITIF,True,22/04/2025,11.17,6.1,10.7,13.0,45.8,44.11,34.38,36.0,19.0,17.0,12.35,34.38,22.03
PZ-12,Sirakorola,Boron Cissé,S1,667459,1461991,32629,-7.4545602,13.2200861,POSITIF,True,23/04/2025,10.9,5.6,10.2,12.8,40.3,39.16,20.7,34.0,17.0,20.0,12.08,20.7,8.62
PZ-13,Sirakorola,Dontérébougou,S1,658952,1463041,32629,-7.5329939,13.2300401,POSITIF,True,21/04/2025,9.83,6.0,9.4,12.8,48.1,47.03,40.7,42.0,32.5,27.0,11.14,40.7,29.56
PZ-14,Sirakorola,Koroka,S1,642789,1467762,32629,-7.6819069,13.2735314,POSITIF,True,21/04/2025,15.34,1.5,3.4,7.5,86.1,84.82,25.62,54.0,28.0,10.0,16.17,25.62,9.45
PZ-15,Sirakorola,Zana,S1,643604,1476920,32629,-7.6739344,13.3562812,POSITIF,True,21/04/2025,5.87,2.1,4.4,6.5,61.1,60.0,47.36,49.0,7.66,9.0,7.52,47.36,39.84
PZ-16,Méguétan,Gouni,S1,659133,1423318,32629,-7.5334427,12.8709466,POSITIF,True,29/04/2025,7.4,0.9,1.3,2.2,82.0,82.0,55.9,63.0,8.0,2.8,8.74,55.9,47.16
PZ-17,Méguétan,Fégoun,S1,658590,1420139,32629,-7.5386121,12.8422368,POSITIF,True,28/04/2025,12.18,1.7,3.6,5.9,46.0,46.0,28.65,37.0,6.0,6.3,13.17,28.65,15.48
PZ-18,Méguétan,Diaguinébougou,S1,674285,1435508,32629,-7.3931353,12.9803161,POSITIF,True,28/04/2025,6.8,3.0,4.1,5.1,78.0,78.0,54.83,70.0,12.0,7.4,8.21,54.83,46.62
PZ-19,Méguétan,Siratiguila,S1,661331,1414013,32629,-7.5136848,12.7867174,POSITIF,True,29/04/2025,14.63,1.0,1.9,3.0,78.0,78.0,28.64,35.0,6.0,3.4,15.42,28.64,13.22
PZ-20,Méguétan,Diladjè,S1,653545,1434137,32629,-7.5843792,12.9690333,POSITIF,True,27/04/2025,8.8,1.6,2.5,3.0,61.1,60.07,38.7,54.0,24.3,3.6,10.08,38.7,28.62
